"36","Oi querido diário, mais uma vez estou aqui me sentindo uma merda e a culpa é toda minha!","-1","3"
"37","É maravilhoso saber que a cada dia estamos nos unindo cada vez mais.","1","3"
"38","Na vida precisamos contar com o apoio daquela pessoa que escolhemos para partilhar de todos os nossos momentos.","0","3"
"39","Estou muito feliz e espero que você também.","1","3"
"40","Pra comemorar pedimos pizza, e eu fiz uma carta e deixei do lado dele da cama!","1","3"
"41","Nós possuímos o ingrediente básico que tudo sustentará e que tão poucos tem o privilegio de ter: o Amor.","1","2"
"42","Um brinde a nossa existência, e ao nosso futuro.","1","3"
"43","Hoje acaba uma guerra.","0","2"
"44","Não acaba uma batalha, a guerra vai continuar, a guerra é destruir as correntes que me separam das minhas aspirações, que me separam dos meus sonhos.","0","2"
"45","Sou muito alta e magra, não tenho corpo, e sofro por causa disso.","-1","3"
"46","E o seguinte, eu já tenho 13 anos e eu QUASE não tenho corpo, as meninas da minha sala já estão todas formadas, e eu aqui com as cochas finas.","-1","3"
"47","Imaginem uma menina de 14 anos alta, e sem peito, bunda, cochas longas e finas, com certeza ficaria uma merda.","-1","3"
"48","Eu ja estou mocinha ja percebo quando os garotos reparam nas meninas de peito e bunda grande, quase ninguém nota ne mim, e e muito chato isso.","-1","3"
"49","Quando tudo parece desmoronar dentro de mim eu me sinto em pedaços.","-1","3"
"50","Tudo que eu quero é ficar sozinha, apagar a luz do quarto e esperar o tempo passar, esperando que a dor vá embora.","-1","3"
"51","O tempo sempre ajuda mas as vezes 1 minuto sozinha dentro desse quarto escuro parece tanto tempo a mais.","0","2"
"52","Me sinto fraca pra lutar por tudo o que eu quero, e as pessoas sempre nos decepcionando.","-1","3"
"53","Confiar em si é a melhor solução pra nao se encontrar nessas situações.","0","3"
"54","Tentar ser forte e acreditar, que tudo vai passar.","0","2"
"55","Eu amo a forma como você me observa com tanta ternura, como se tudo em mim fosse inédito.","1","3"
"56","Eu amo sua sinceridade e inocência.","1","2"
"57","Você me faz bem e eu sinto que sou amada verdadeiramente.","1","3"
"58","Eu já não aguento mais ouvir desaforo, piada, jogando na minha cara coisas que ele fez por mim, e por isso resolvi ser garota de programa.","-1","2"
"59","Escrevi este relato, a mando do pai do meu filho.","0","3"
"60","Ele insistiu que eu relatasse exatamente nosso romance, desde o início, sem omitir nada, e depois publicasse na internet.","0","3"
"61","Sou casada, feliz no casamento, tenho um bom emprego onde conheci uma pessoa.","1","3"
"62","Sabe aquela pessoa que você se identifica logo de cara, almoça junto todos os dias e acaba ficando amigo?","0","2"
"63","Como almoçamos quase todos os dias juntos, acabamos nos conhecendo bem, sabia de suas namoradas e ele um pouco de mim.","0","2"
"64","Comecei a pegar carona com ele ao final do expediente, fato que achei melhor esconder do meu marido, ele acha que eu volto de ônibus, mas ônibus são tão lotados e demorados.","-1","2"
"65","Um dia, o trânsito estava horrível parado por enchentes, e ele sugeriu paramos em uma ruazinha para dar um tempo, por sorte o carro tem vidros escuros dando mais segurança.","0","2"
"66","Ele conversava virado para mim com a mão no encosto do meu banco e, estranhamente comecei a sentir bem ficar ali com ele.","1","3"
"68","Comecei a sentir uma estranha, excitação interna, não exatamente por ele, mas pela situação.","1","3"
"69","Afinal, para mim, que sempre levei vida de esposa fiel, tudo eram novidade, e novidade sempre atraem as mulheres.","0","2"
"70","Ele desceu a mão até meu pescoço, sentia sua respiração.","0","3"
"71","Arrepiei-me, ele percebeu e veio se aproximando cada vez mais, segurou meu rosto; foi aproximando seu rosto até que encostou seus lábios nos meus.","0","2"
"72","Eu não sabia o que fazer!","0","2"
"73","Fiquei surpresa e paralisada!","0","2"
"74","Senti um choque e um calor pelo corpo todo por essa situação inusitada.","0","2"
"75","Eu, já com a respiração acelerada.","0","2"
"76","Acabamos nos beijando mais e mais, meus braços o abraçaram.","1","2"
